LRLRLRLLRRLRRLRRRLRRLRLLRRRLRRRLRRLLLLRRRLRLLRRLRRLRRLLLRRRLRRRLRRLRLRRLRLRLRLLRRRLRRRLLRRRLRRRLRRRLRLLLRRLRLRRRLRLRRRLLRRRLRLLRLRRRLRLRRRLRRLLRLRLRRLRLRLRRLRLRLRRRLRRLRLLRRLRRRLRRRLRRLRRRLRRLRLRRRLLRRRLLRRLRLRRRLRRRLLRRRLRLRRLRLRLRRLRLLRRLRLRLRRLRRRLRRRLRLRRLRRLLLRRRLLRLRRRLLRRRR

NBN = (BKF, NNH)
SNM = (TDJ, GHR)
XLQ = (MKS, HVN)
GRG = (RVQ, NMT)
JHN = (FHV, DVX)
PKT = (SVT, SKM)
KVD = (RQB, GSH)
TCT = (NFV, VMQ)
RTK = (QGP, QGP)
FQH = (PQF, QPG)
HXD = (VVM, GSR)
PPN = (RLF, TKN)
MTP = (NBR, SLB)
JXT = (BFQ, VSM)
PQV = (VNX, PNT)
TJF = (RXL, GKK)
NMM = (MLT, HNC)
TDJ = (GXF, NBB)
QFM = (NXG, KPC)
MXC = (BNK, BDL)
XPQ = (GRG, DPR)
VVM = (GRR, FPH)
BXG = (GXX, HHG)
PVT = (LCD, HKG)
LSJ = (NTM, DXG)
BJF = (SNK, TDP)
VNJ = (HBN, JTR)
TDR = (XGN, VSH)
NXN = (VLB, JFN)
NKP = (XQL, KMT)
MCQ = (QFF, JVS)
HJK = (MHL, FMB)
BLJ = (HPL, BLT)
SNP = (NVV, SSH)
RCJ = (FPF, FRP)
XQJ = (JVC, XQX)
CPT = (GCT, XJV)
BCC = (JVB, STM)
FSV = (QGP, TNZ)
CMN = (JQL, NQB)
RLM = (STD, FKB)
STB = (KVP, KVP)
JDB = (RNK, XQJ)
VSM = (JQK, HRM)
JPD = (HXS, HCC)
BTV = (JMT, CSK)
DHN = (PXJ, QFM)
CQJ = (BXP, QCJ)
MLT = (KNT, SHM)
DMQ = (PFS, HDG)
MBK = (QMN, JTP)
NTS = (KDT, BDD)
SCC = (FBK, LHT)
HHG = (LKC, XPS)
PRS = (QVH, QVH)
TLQ = (RTC, GSL)
BJN = (LGC, PFK)
FBF = (MHN, XPF)
VKQ = (LRR, LXJ)
PQX = (XPQ, SKF)
TNZ = (XKN, BRF)
FJD = (FNJ, CSJ)
JNJ = (CTQ, TLQ)
HTG = (LNN, QXK)
GHH = (HSX, BBL)
BDX = (XVH, VSV)
NBV = (TSM, SMX)
LNH = (SHB, KVC)
GLQ = (CMN, KQS)
CKJ = (XLQ, DRB)
HFS = (HML, FLT)
STJ = (LXJ, LRR)
QVS = (VJJ, BTV)
HCQ = (GNB, FLL)
RHM = (TLT, BCC)
MRC = (LNN, QXK)
DSN = (VDX, NKS)
HCC = (CXC, MDR)
FFX = (DCB, DGH)
HPL = (NMM, BNH)
DHM = (RPP, HXD)
LXQ = (CPT, JKS)
RLC = (MLM, CNS)
BBT = (DMT, KGC)
PQT = (VQH, GHH)
BKV = (TCC, KMJ)
KGL = (FHK, TBC)
VLD = (JHS, RLL)
DTQ = (MMK, DRL)
HKG = (MGP, JHN)
JKV = (DRL, MMK)
CVH = (KSQ, SDH)
QQR = (RKT, TCN)
JGG = (QDD, LHZ)
FSJ = (GSQ, JNJ)
LXJ = (VGQ, HKJ)
BPT = (NDJ, RFX)
QGP = (BRF, XKN)
JCR = (LXQ, GKC)
DRB = (MKS, HVN)
LQD = (DFT, FVR)
VVS = (GFC, DVG)
FQJ = (BVG, GTT)
XHX = (JJD, NVN)
MLM = (XMQ, PMD)
QDS = (TTC, SKK)
NMA = (KGM, SXH)
HBN = (BBT, LTL)
KQF = (HFS, HVS)
PVQ = (XQL, KMT)
CLV = (DDM, GMM)
BXQ = (RCJ, MVV)
GHQ = (FXN, XJX)
RSN = (HHG, GXX)
SGS = (QJV, FVM)
PQB = (XLJ, HFG)
MMK = (DCL, JRT)
JRG = (SRK, XBQ)
HXT = (BJC, CMC)
GSH = (XNP, PQV)
BNK = (DHX, NRQ)
HQM = (GSP, TDR)
BNM = (BNK, BDL)
CPK = (LNF, NFL)
JRP = (HTG, MRC)
NHV = (GFS, MBR)
NQB = (HXT, JVN)
HLP = (SMX, TSM)
PXA = (KBG, KQF)
